Dataset,Method,Dimensions,K-Nearest Neighbors Neighbors,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Time Taken (seconds)
Small,Baseline,536,5,0.7101449275362319,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.7857142857142857,0.051944500009994954
Medium,Baseline,561,5,0.9012555140821175,0.9055124948888088,0.896462135566369,0.89808841076941,0.9827623732200171,0.1331683750031516
Large,Baseline,784,5,0.8589,0.8613943216647832,0.8589,0.8580386825779728,0.9699947333333334,2.7687754170037806
Small,PCA,2,5,0.5942028985507246,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5966386554621849,0.006169875006889924
Small,PCA,5,5,0.6956521739130435,0.6857142857142857,0.7058823529411765,0.6956521739130435,0.7436974789915967,0.004583792033372447
Small,PCA,10,5,0.782608695652174,0.7714285714285715,0.7941176470588235,0.782608695652174,0.8533613445378152,0.004841500980546698
Small,PCA,20,5,0.8115942028985508,0.8387096774193549,0.7647058823529411,0.8,0.8521008403361345,0.0046613340091425925
Small,PCA,50,5,0.8260869565217391,0.8666666666666667,0.7647058823529411,0.8125,0.8575630252100841,0.006371124996803701
Small,PCA,100,5,0.8260869565217391,0.8666666666666667,0.7647058823529411,0.8125,0.8554621848739496,0.009635333000915125
Medium,PCA,2,5,0.5486935866983373,0.5871098788776195,0.5492880236602546,0.5504438077484842,0.8474113457630407,0.05671045801136643
Medium,PCA,5,5,0.7974211062097047,0.8012636237038949,0.7896211616450142,0.7897887084501919,0.9464654620011181,0.061011957994196564
Medium,PCA,10,5,0.842551747539871,0.8443842813122729,0.8378463098207547,0.838812436362562,0.9647964754439243,0.09147825001855381
Medium,PCA,20,5,0.8601968103155752,0.8637154672521871,0.855993620397194,0.8573210772512988,0.9702291288172735,0.12289787599002011
Medium,PCA,50,5,0.8876823888700374,0.8897843247294892,0.883106530716241,0.8843520151007089,0.9774973526299294,0.20336304200463928
Medium,PCA,100,5,0.8978622327790974,0.9008460064541167,0.8933548171790039,0.8947232334479933,0.9792863603907151,0.104241999972146
Medium,PCA,200,5,0.9032914828639295,0.9082451420547984,0.8985610932577912,0.9001662023792759,0.9801859035763377,0.19053879199782386
Medium,PCA,500,5,0.9015948422124194,0.906660077355102,0.8968124014482727,0.8985210973000696,0.9799100556536308,0.2602125000266824
Large,PCA,2,5,0.5058,0.50326483839864,0.5058,0.5003066161034706,0.8521153666666667,0.27903429098660126
Large,PCA,5,5,0.7481,0.7455583306327229,0.7481,0.7452932900709355,0.9324499222222222,0.2853291670035105
Large,PCA,10,5,0.8157,0.8147307073173135,0.8157,0.8144201408006928,0.955487538888889,0.4636325419705827
Large,PCA,20,5,0.8475,0.8473706457100529,0.8474999999999999,0.8465281969814586,0.9665746777777777,0.56817625099211
Large,PCA,50,5,0.8622,0.8624056722429907,0.8622,0.8609997130876911,0.9714063611111111,0.728969874966424
Large,PCA,100,5,0.8678,0.8683394021263258,0.8677999999999999,0.8668170246998732,0.9726346722222221,1.0244407510035671
Large,PCA,200,5,0.8679,0.8689552437124103,0.8679,0.8670058378532843,0.9724172555555555,1.5678602919797413
Large,PCA,500,5,0.8608,0.8629935220921349,0.8607999999999999,0.8598668177249775,0.9702506999999999,3.82712054203148
Small,PCA,2,5,0.5942028985507246,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5966386554621849,0.006359375023748726
Small,PCA,5,5,0.6956521739130435,0.6857142857142857,0.7058823529411765,0.6956521739130435,0.7436974789915967,0.004832042002817616
Small,PCA,10,5,0.782608695652174,0.7714285714285715,0.7941176470588235,0.782608695652174,0.8533613445378152,0.00556720801978372
Small,PCA,20,5,0.8115942028985508,0.8387096774193549,0.7647058823529411,0.8,0.8521008403361345,0.006038207997335121
Small,PCA,50,5,0.8260869565217391,0.8666666666666667,0.7647058823529411,0.8125,0.8575630252100841,0.006347249000100419
Small,PCA,100,5,0.8260869565217391,0.8666666666666667,0.7647058823529411,0.8125,0.8554621848739496,0.009397750021889806
Medium,PCA,2,5,0.5486935866983373,0.5871098788776195,0.5492880236602546,0.5504438077484842,0.8474113457630407,0.07430649996967986
Medium,PCA,5,5,0.7974211062097047,0.8012636237038949,0.7896211616450142,0.7897887084501919,0.9464654620011181,0.06369066599290818
Medium,PCA,10,5,0.842551747539871,0.8443842813122729,0.8378463098207547,0.838812436362562,0.9647964754439243,0.09027437402983196
Medium,PCA,20,5,0.8601968103155752,0.8637154672521871,0.855993620397194,0.8573210772512988,0.9702291288172735,0.07723208400420845
Medium,PCA,50,5,0.8876823888700374,0.8897843247294892,0.883106530716241,0.8843520151007089,0.9774973526299294,0.09279820902156644
Medium,PCA,100,5,0.8978622327790974,0.9008460064541167,0.8933548171790039,0.8947232334479933,0.9792863603907151,0.1070774590189103
Medium,PCA,200,5,0.9032914828639295,0.9082451420547984,0.8985610932577912,0.9001662023792759,0.9801859035763377,0.1186347090115305
Medium,PCA,500,5,0.9015948422124194,0.906660077355102,0.8968124014482727,0.8985210973000696,0.9799100556536308,0.21204533401760273
Large,PCA,2,5,0.5058,0.50326483839864,0.5058,0.5003066161034706,0.8521153666666667,0.2740797919977922
Large,PCA,5,5,0.7481,0.7455583306327229,0.7481,0.7452932900709355,0.9324499222222222,0.2793191250239033
Large,PCA,10,5,0.8157,0.8147307073173135,0.8157,0.8144201408006928,0.955487538888889,0.5131892499921378
Large,PCA,20,5,0.8475,0.8473706457100529,0.8474999999999999,0.8465281969814586,0.9665746777777777,0.596020249009598
Large,PCA,50,5,0.8622,0.8624056722429907,0.8622,0.8609997130876911,0.9714063611111111,0.7768805829982739
Large,PCA,100,5,0.8678,0.8683394021263258,0.8677999999999999,0.8668170246998732,0.9726346722222221,1.0368103749933653
Large,PCA,200,5,0.8679,0.8689552437124103,0.8679,0.8670058378532843,0.9724172555555555,1.9610563750029542
Large,PCA,500,5,0.8608,0.8629935220921349,0.8607999999999999,0.8598668177249775,0.9702506999999999,3.880352584004868
Small,Random Projection,2,5,0.5652173913043478,0.5666666666666667,0.5,0.53125,0.5773109243697478,0.005491040996275842
Small,Random Projection,5,5,0.5797101449275363,0.5714285714285714,0.5882352941176471,0.5797101449275363,0.538655462184874,0.004367542016552761
Small,Random Projection,10,5,0.7246376811594203,0.7142857142857143,0.7352941176470589,0.7246376811594203,0.753781512605042,0.004944124986650422
Small,Random Projection,20,5,0.7101449275362319,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7752100840336135,0.0050184999709017575
Small,Random Projection,50,5,0.7391304347826086,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.7865546218487395,0.005987916985759512
Small,Random Projection,100,5,0.7246376811594203,0.7419354838709677,0.6764705882352942,0.7076923076923077,0.7798319327731091,0.004759750998346135
Small,Random Projection,200,5,0.8260869565217391,0.84375,0.7941176470588235,0.8181818181818182,0.8516806722689075,0.0060034999914933
Small,Random Projection,500,5,0.7681159420289855,0.78125,0.7352941176470589,0.7575757575757576,0.8218487394957983,0.008966167020844296
Medium,Random Projection,2,5,0.5266372582287071,0.5278670920071397,0.5162778307431932,0.5152658516343483,0.8264478298604535,0.023428582004271448
Medium,Random Projection,5,5,0.66610111978283,0.6775698864138073,0.6579280596194564,0.6582146590042769,0.896677254641415,0.04059854199294932
Medium,Random Projection,10,5,0.7271801832371904,0.7409650751670934,0.7190052797973906,0.7214257197447921,0.9252173474384527,0.09751520800637081
Medium,Random Projection,20,5,0.8076009501187649,0.8152442944664244,0.8002185855529826,0.8015209314056563,0.9558503475141483,0.04498099998454563
Medium,Random Projection,50,5,0.8568035290125552,0.8666606971282521,0.8490945389944061,0.8507996380865911,0.965467216324619,0.04888204101007432
Medium,Random Projection,100,5,0.8734306073973532,0.8826644763691694,0.8673557291425921,0.8696923551954318,0.9733349330589558,0.060120833019027486
Medium,Random Projection,200,5,0.8954869358669834,0.9018448265885827,0.8901725102074046,0.8919628713609756,0.9781510074065242,0.08206304101622663
Medium,Random Projection,500,5,0.8958262639972854,0.9010519862663017,0.8907479113341702,0.8925530985606435,0.9798685760777577,0.15617391600972041
Large,Random Projection,2,5,0.2773,0.2664641913267881,0.2773,0.2655043604339133,0.6845745944444445,0.14888529098243453
Large,Random Projection,5,5,0.5139,0.5156225188459287,0.5138999999999999,0.5104369272555037,0.8322994444444444,0.16989445796934888
Large,Random Projection,10,5,0.6986,0.7001482684364727,0.6986,0.6968331502376099,0.9160118611111112,0.9153946659935173
Large,Random Projection,20,5,0.7843,0.7879745663098955,0.7843,0.7837776214453506,0.9461925166666667,0.4685308749903925
Large,Random Projection,50,5,0.8344,0.8377234261839146,0.8343999999999999,0.8333824446256551,0.9636293777777777,0.7089059579884633
Large,Random Projection,100,5,0.8472,0.8498032085069092,0.8472,0.8462505156843727,0.9667482833333334,0.950968584016664
Large,Random Projection,200,5,0.855,0.8574658516422407,0.8550000000000001,0.8541280117916186,0.9688399277777778,1.5497532919980586
Large,Random Projection,500,5,0.8582,0.8605438716968028,0.8582000000000001,0.8574020786352847,0.9682543333333333,3.5367090410145465
